#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0336_4_8w.pdb 0.016 35.323 15.341 0.02672 Incorrect Incorrect
allpdb0336_4_67w.pdb 0.016 36.717 16.176 0.02512 Incorrect Incorrect
allpdb0336_4_74w.pdb 0.016 35.789 15.846 0.02608 Incorrect Incorrect
allpdb0336_4_94w.pdb 0.000 38.845 16.780 0.01787 Incorrect Incorrect
allpdb0336_4_21w.pdb 0.016 36.037 15.834 0.02585 Incorrect Incorrect
allpdb0336_4_33w.pdb 0.016 35.587 15.650 0.02634 Incorrect Incorrect
allpdb0336_4_13w.pdb 0.016 36.376 16.119 0.02544 Incorrect Incorrect
allpdb0336_4_11w.pdb 0.016 35.140 15.524 0.02683 Incorrect Incorrect
allpdb0336_4_43w.pdb 0.016 35.822 15.694 0.02610 Incorrect Incorrect
allpdb0336_4_45w.pdb 0.016 35.962 15.727 0.02596 Incorrect Incorrect
allpdb0336_4_18w.pdb 0.016 35.614 15.613 0.02633 Incorrect Incorrect
allpdb0336_4_46w.pdb 0.016 36.539 16.053 0.02532 Incorrect Incorrect
allpdb0336_4_80w.pdb 0.016 35.819 15.922 0.02602 Incorrect Incorrect
allpdb0336_4_83w.pdb 0.016 35.879 15.909 0.02597 Incorrect Incorrect
allpdb0336_4_53w.pdb 0.016 36.191 15.920 0.02568 Incorrect Incorrect
allpdb0336_4_17w.pdb 0.016 35.878 15.949 0.02596 Incorrect Incorrect
allpdb0336_4_58w.pdb 0.016 36.262 16.218 0.02551 Incorrect Incorrect
allpdb0336_4_155w.pdb 0.000 28.089 26.172 0.02905 Incorrect Incorrect
