#stucture Fnat L-RMSD i-RMSD DockQ CAPRIquality DockQquality
allpdb0089_10_28w.pdb 0.356 4.303 1.675 0.53218 Medium Medium
allpdb0089_10_141w.pdb 0.322 3.906 1.854 0.51447 Medium Medium
allpdb0089_10_169w.pdb 0.294 3.838 1.800 0.51164 Acceptable Medium
allpdb0089_10_106w.pdb 0.328 3.368 1.581 0.55525 Medium Medium
allpdb0089_10_5w.pdb 0.339 4.557 1.825 0.50626 Medium Medium
allpdb0089_10_107w.pdb 0.294 4.247 1.770 0.50423 Acceptable Medium
allpdb0089_10_194w.pdb 0.289 3.799 1.679 0.52211 Acceptable Medium
allpdb0089_10_78w.pdb 0.333 4.356 1.696 0.52139 Medium Medium
allpdb0089_10_96w.pdb 0.306 5.012 1.887 0.47825 Medium Acceptable
allpdb0089_10_113w.pdb 0.317 4.305 1.765 0.51059 Medium Medium
allpdb0089_10_40w.pdb 0.350 3.621 1.656 0.54901 Medium Medium
allpdb0089_10_179w.pdb 0.317 4.757 2.096 0.47228 Medium Acceptable
allpdb0089_10_181w.pdb 0.339 4.535 1.733 0.51523 Medium Medium
allpdb0089_10_31w.pdb 0.300 4.711 1.830 0.48898 Medium Acceptable
allpdb0089_10_89w.pdb 0.294 5.113 1.874 0.47305 Acceptable Acceptable
allpdb0089_10_60w.pdb 0.306 3.845 1.739 0.52071 Medium Medium
allpdb0089_10_121w.pdb 0.289 5.062 1.940 0.46705 Acceptable Acceptable
allpdb0089_10_66w.pdb 0.278 3.895 1.834 0.50166 Acceptable Medium
allpdb0089_10_69w.pdb 0.250 6.028 2.352 0.40148 Acceptable Acceptable
allpdb0089_10_83w.pdb 0.272 5.928 2.114 0.42664 Acceptable Acceptable
allpdb0089_10_56w.pdb 0.250 4.190 1.880 0.48115 Acceptable Acceptable
allpdb0089_10_36w.pdb 0.267 5.440 2.089 0.43876 Acceptable Acceptable
allpdb0089_10_133w.pdb 0.256 5.272 2.040 0.44286 Acceptable Acceptable
allpdb0089_10_132w.pdb 0.244 4.868 1.977 0.45429 Acceptable Acceptable
allpdb0089_10_190w.pdb 0.189 4.910 2.250 0.41546 Acceptable Acceptable
